accessNumber,symbol,cik,form,filedDate,acceptedDate,reportUrl,filingUrl
0001921094-25-000760,NVDA,1045810,144,2025-07-07 00:00:00,2025-07-07 16:24:06,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000760/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000760/0001921094-25-000760-index.html
0001965301-25-000094,NVDA,1045810,144,2025-07-07 00:00:00,2025-07-07 16:07:17,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000094/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000094/0001965301-25-000094-index.html
0001921094-25-000757,NVDA,1045810,144,2025-07-03 00:00:00,2025-07-03 13:22:03,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000757/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000757/0001921094-25-000757-index.html
0001921094-25-000751,NVDA,1045810,144,2025-07-02 00:00:00,2025-07-02 16:29:55,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000751/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000751/0001921094-25-000751-index.html
0001965301-25-000092,NVDA,1045810,144,2025-07-02 00:00:00,2025-07-02 15:56:14,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000092/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000092/0001965301-25-000092-index.html
0001921094-25-000746,NVDA,1045810,144,2025-07-01 00:00:00,2025-07-01 17:06:35,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000746/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000746/0001921094-25-000746-index.html
0001965301-25-000089,NVDA,1045810,144,2025-07-01 00:00:00,2025-07-01 13:33:52,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000089/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000089/0001965301-25-000089-index.html
0001965301-25-000088,NVDA,1045810,144,2025-06-30 00:00:00,2025-06-30 20:37:35,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000088/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000088/0001965301-25-000088-index.html
0001921094-25-000740,NVDA,1045810,144,2025-06-30 00:00:00,2025-06-30 16:25:47,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000740/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000740/0001921094-25-000740-index.html
0001921094-25-000730,NVDA,1045810,144,2025-06-27 00:00:00,2025-06-27 16:48:08,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000730/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000730/0001921094-25-000730-index.html
0001965301-25-000086,NVDA,1045810,144,2025-06-27 00:00:00,2025-06-27 14:55:29,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000086/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000086/0001965301-25-000086-index.html
0001921094-25-000727,NVDA,1045810,144,2025-06-26 00:00:00,2025-06-26 16:50:27,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000727/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000727/0001921094-25-000727-index.html
0001965301-25-000084,NVDA,1045810,144,2025-06-26 00:00:00,2025-06-26 14:07:20,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000084/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000084/0001965301-25-000084-index.html
0001921094-25-000725,NVDA,1045810,144,2025-06-25 00:00:00,2025-06-25 17:18:59,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000725/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000725/0001921094-25-000725-index.html
0001921094-25-000724,NVDA,1045810,144,2025-06-25 00:00:00,2025-06-25 16:47:12,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000724/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000724/0001921094-25-000724-index.html
0001965301-25-000082,NVDA,1045810,144,2025-06-25 00:00:00,2025-06-25 13:00:24,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000082/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000082/0001965301-25-000082-index.html
0001921094-25-000714,NVDA,1045810,144,2025-06-24 00:00:00,2025-06-24 16:52:52,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000714/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000714/0001921094-25-000714-index.html
0001965301-25-000081,NVDA,1045810,144,2025-06-24 00:00:00,2025-06-24 13:19:34,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000081/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000081/0001965301-25-000081-index.html
0001921094-25-000713,NVDA,1045810,144,2025-06-23 00:00:00,2025-06-23 16:25:38,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000713/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000713/0001921094-25-000713-index.html
0001965301-25-000079,NVDA,1045810,144,2025-06-23 00:00:00,2025-06-23 15:17:55,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000079/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000079/0001965301-25-000079-index.html
0001958244-25-003698,NVDA,1045810,144,2025-06-20 00:00:00,2025-06-20 17:59:51,https://www.sec.gov/Archives/edgar/data/1045810/000195824425003698/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195824425003698/0001958244-25-003698-index.html
0001921094-25-000709,NVDA,1045810,144,2025-06-20 00:00:00,2025-06-20 16:53:56,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000709/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000709/0001921094-25-000709-index.html
0001950047-25-004520,NVDA,1045810,144,2025-06-20 00:00:00,2025-06-20 16:28:20,https://www.sec.gov/Archives/edgar/data/1045810/000195004725004520/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195004725004520/0001950047-25-004520-index.html
0001965301-25-000076,NVDA,1045810,144,2025-06-20 00:00:00,2025-06-20 14:59:35,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000076/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196530125000076/0001965301-25-000076-index.html
0001973251-25-000041,NVDA,1045810,144,2025-06-09 00:00:00,2025-06-09 19:22:32,https://www.sec.gov/Archives/edgar/data/1045810/000197325125000041/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000197325125000041/0001973251-25-000041-index.html
0001961863-25-000072,NVDA,1045810,144,2025-06-02 00:00:00,2025-06-02 17:06:57,https://www.sec.gov/Archives/edgar/data/1045810/000196186325000072/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196186325000072/0001961863-25-000072-index.html
0001921094-25-000576,NVDA,1045810,144,2025-05-30 00:00:00,2025-05-30 17:28:38,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000576/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000576/0001921094-25-000576-index.html
0001921094-25-000574,NVDA,1045810,144,2025-05-30 00:00:00,2025-05-30 16:34:42,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000574/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000574/0001921094-25-000574-index.html
0001045810-25-000102,NVDA,1045810,13F-HR,2025-05-15 00:00:00,2025-05-15 16:26:33,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000102/information_table.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000102/0001045810-25-000102-index.html
0001958244-25-001868,NVDA,1045810,144,2025-03-21 00:00:00,2025-03-21 17:00:50,https://www.sec.gov/Archives/edgar/data/1045810/000195824425001868/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195824425001868/0001958244-25-001868-index.html
0001950047-25-002097,NVDA,1045810,144,2025-03-21 00:00:00,2025-03-21 16:20:08,https://www.sec.gov/Archives/edgar/data/1045810/000195004725002097/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195004725002097/0001950047-25-002097-index.html
0001921094-25-000334,NVDA,1045810,144,2025-03-20 00:00:00,2025-03-20 16:04:19,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000334/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000334/0001921094-25-000334-index.html
0001921094-25-000311,NVDA,1045810,144,2025-03-13 00:00:00,2025-03-13 16:08:42,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000311/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000311/0001921094-25-000311-index.html
0001921094-25-000290,NVDA,1045810,144,2025-03-10 00:00:00,2025-03-10 16:27:44,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000290/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000290/0001921094-25-000290-index.html
0001045810-25-000013,NVDA,1045810,13F-HR,2025-02-14 00:00:00,2025-02-14 06:12:04,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000013/information_table.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000013/0001045810-25-000013-index.html
0001921094-25-000014,NVDA,1045810,144,2025-01-06 00:00:00,2025-01-06 16:48:56,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000014/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109425000014/0001921094-25-000014-index.html
0001973251-24-000081,NVDA,1045810,144,2024-12-16 00:00:00,2024-12-16 17:36:46,https://www.sec.gov/Archives/edgar/data/1045810/000197325124000081/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000197325124000081/0001973251-24-000081-index.html
0001958244-24-005852,NVDA,1045810,144,2024-12-13 00:00:00,2024-12-13 17:00:05,https://www.sec.gov/Archives/edgar/data/1045810/000195824424005852/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195824424005852/0001958244-24-005852-index.html
0001950047-24-009810,NVDA,1045810,144,2024-12-13 00:00:00,2024-12-13 16:29:15,https://www.sec.gov/Archives/edgar/data/1045810/000195004724009810/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195004724009810/0001950047-24-009810-index.html
0001921094-24-001474,NVDA,1045810,144,2024-11-25 00:00:00,2024-11-25 16:07:27,https://www.sec.gov/Archives/edgar/data/1045810/000192109424001474/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109424001474/0001921094-24-001474-index.html
0001045810-24-000305,NVDA,1045810,13F-HR,2024-11-14 00:00:00,2024-11-14 16:18:41,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000305/information_table.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000305/0001045810-24-000305-index.html
0001961863-24-000324,NVDA,1045810,144,2024-09-24 00:00:00,2024-09-24 17:58:48,https://www.sec.gov/Archives/edgar/data/1045810/000196186324000324/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000196186324000324/0001961863-24-000324-index.html
0001958244-24-004564,NVDA,1045810,144,2024-09-20 00:00:00,2024-09-20 16:34:26,https://www.sec.gov/Archives/edgar/data/1045810/000195824424004564/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195824424004564/0001958244-24-004564-index.html
0001950047-24-007295,NVDA,1045810,144,2024-09-20 00:00:00,2024-09-20 16:27:54,https://www.sec.gov/Archives/edgar/data/1045810/000195004724007295/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000195004724007295/0001950047-24-007295-index.html
0001973251-24-000043,NVDA,1045810,144,2024-09-20 00:00:00,2024-09-20 16:01:53,https://www.sec.gov/Archives/edgar/data/1045810/000197325124000043/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000197325124000043/0001973251-24-000043-index.html
0001973251-24-000042,NVDA,1045810,144,2024-09-19 00:00:00,2024-09-19 17:12:05,https://www.sec.gov/Archives/edgar/data/1197647/000197325124000042/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1197647/000197325124000042/0001973251-24-000042-index.html
0001921094-24-001193,NVDA,1045810,144,2024-09-13 00:00:00,2024-09-13 16:36:49,https://www.sec.gov/Archives/edgar/data/1045810/000192109424001193/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1045810/000192109424001193/0001921094-24-001193-index.html
