accessNumber,symbol,cik,form,filedDate,acceptedDate,reportUrl,filingUrl
0001045810-25-000186,NVDA,1045810,4,2025-07-07 00:00:00,2025-07-07 20:29:56,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000186/wk-form4_1751934586.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000186/0001045810-25-000186-index.html
0001045810-25-000183,NVDA,1045810,4,2025-07-01 00:00:00,2025-07-01 19:40:37,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000183/wk-form4_1751413230.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000183/0001045810-25-000183-index.html
0001045810-25-000182,NVDA,1045810,4,2025-07-01 00:00:00,2025-07-01 19:35:22,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000182/wk-form4_1751412913.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000182/0001045810-25-000182-index.html
0001225208-25-006216,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:18:58,https://www.sec.gov/Archives/edgar/data/1045810/000122520825006216/doc4.xml,https://www.sec.gov/Archives/edgar/data/1045810/000122520825006216/0001225208-25-006216-index.html
0001045810-25-000178,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:09:14,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000178/wk-form4_1751317746.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000178/0001045810-25-000178-index.html
0001045810-25-000177,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:06:35,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000177/wk-form4_1751317588.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000177/0001045810-25-000177-index.html
0001045810-25-000176,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:04:42,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000176/wk-form4_1751317475.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000176/0001045810-25-000176-index.html
0001045810-25-000175,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:02:48,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000175/wk-form4_1751317362.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000175/0001045810-25-000175-index.html
0001045810-25-000174,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 17:00:42,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000174/wk-form4_1751317235.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000174/0001045810-25-000174-index.html
0001045810-25-000173,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:58:27,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000173/wk-form4_1751317101.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000173/0001045810-25-000173-index.html
0001045810-25-000172,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:56:24,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000172/wk-form4_1751316977.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000172/0001045810-25-000172-index.html
0001045810-25-000171,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:54:11,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000171/wk-form4_1751316844.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000171/0001045810-25-000171-index.html
0001045810-25-000170,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:51:44,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000170/wk-form4_1751316698.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000170/0001045810-25-000170-index.html
0001045810-25-000169,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:49:06,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000169/wk-form4_1751316539.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000169/0001045810-25-000169-index.html
0001045810-25-000168,NVDA,1045810,4,2025-06-30 00:00:00,2025-06-30 16:45:24,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000168/wk-form4_1751316316.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000168/0001045810-25-000168-index.html
0001045810-25-000152,NVDA,1045810,4,2025-06-27 00:00:00,2025-06-27 18:21:51,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000152/wk-form4_1751062904.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000152/0001045810-25-000152-index.html
0001045810-25-000151,NVDA,1045810,4,2025-06-27 00:00:00,2025-06-27 18:15:26,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000151/wk-form4_1751062519.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000151/0001045810-25-000151-index.html
0001045810-25-000148,NVDA,1045810,4,2025-06-26 00:00:00,2025-06-26 19:42:32,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000148/wk-form4_1750981346.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000148/0001045810-25-000148-index.html
0001045810-25-000146,NVDA,1045810,4,2025-06-24 00:00:00,2025-06-24 18:29:50,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000146/wk-form4_1750804182.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000146/0001045810-25-000146-index.html
0001045810-25-000144,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:54:01,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000144/wk-form4_1750719235.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000144/0001045810-25-000144-index.html
0001045810-25-000143,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:49:34,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000143/wk-form4_1750718967.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000143/0001045810-25-000143-index.html
0001045810-25-000141,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:42:55,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000141/wk-form4_1750718569.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000141/0001045810-25-000141-index.html
0001045810-25-000140,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:40:05,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000140/wk-form4_1750718394.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000140/0001045810-25-000140-index.html
0001045810-25-000139,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:37:14,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000139/wk-form4_1750718228.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000139/0001045810-25-000139-index.html
0001045810-25-000138,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:34:26,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000138/wk-form4_1750718059.xml,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000138/0001045810-25-000138-index.html
0001526111-25-000003,NVDA,1045810,4,2025-06-23 00:00:00,2025-06-23 18:27:51,https://www.sec.gov/Archives/edgar/data/1045810/000152611125000003/wk-form4_1750717665.xml,https://www.sec.gov/Archives/edgar/data/1045810/000152611125000003/0001526111-25-000003-index.html
